"Everything from the design to the OS is simple and to the point.","2","['design', 'OS']","['positive', 'positive']"
"I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.","1","['shipping']","['negative']"
"I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.","2","['gaming look', 'gaming performance']","['positive', 'positive']"
"This just keeps having it's hard drive replaced!","1","['hard drive']","['negative']"
"When you look at the specs on Apple products in comparison to a Dell or a HP, yes they do seem to offer less for a higher cost.","1","['cost']","['negative']"
"The only downfall is the volume control.","1","['volume control']","['negative']"
"Very fast boot up and shut down.","2","['boot up', 'shut down']","['positive', 'positive']"
"I finally decided on this laptop because it was the right price for what I need it.","1","['price']","['positive']"
"If internet connectivity is important I would recommend going with a dell net book for 50 bucks more, or buy a USB wireless card.","2","['internet connectivity', 'USB wireless card']","['neutral', 'neutral']"
"I had read online that some users were having sound problems.","1","['sound']","['negative']"
"My last computer, a Toshiba, cost only $400, and worked like a charm for many years.","1","['cost']","['positive']"
"It discharges too quickly.","1","['discharges']","['negative']"
"But to be honest, the compatibility issues and the other little quirks make me think I ll buy a PC next time.","1","['compatibility']","['negative']"
"Then it ceased charging at all.","1","['charging']","['negative']"
"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.","3","['stand', 'design', 'heat sink']","['neutral', 'negative', 'negative']"
"*=Webcam is a bit laggy, not the greatest.","1","['Webcam']","['negative']"
"I am not much of a computer techie, so I can understand some of the internal problems, though I do have trend micro as an antiviral program.","2","['trend micro', 'antiviral program']","['neutral', 'neutral']"
"The computer continued to give me issues and in Late June it completely died again and I tried to call Acer again to get it fixed and they refused to help me, they said my warrenty was up and hung up on me.","1","['warrenty']","['negative']"
"I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.","2","['plastic piece', 'usb port wires']","['negative', 'neutral']"
"Wonderful sleek case design is only on the outside.","1","['case design']","['positive']"
"It is speedy when connected wirelessly to any network regardless if the connection is weak or not.","1","['connection']","['neutral']"
"The pricing is very competitive.","1","['pricing']","['positive']"
"Connecting to my wireless router via built-in wireless took no time at all.","1","['built-in wireless']","['positive']"
"This computer is exceptionally thin for it's screen size and processing power.","2","['screen size', 'processing power']","['positive', 'positive']"
"I have not had a problem with the applications quitting or freezing.","1","['applications']","['positive']"
"Maybe this is virus related, maybe not, but the computer has locked up many times, and on two occasions, the screen has simply gone black.","1","['screen']","['negative']"
"This wiped out several programs that were installed on the computer when it was bought.","1","['programs']","['negative']"
"It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics.","2","['graphics', 'graphics']","['positive', 'neutral']"
"I have Vista, so I am unable to install and uninstall  some programs.","4","['Vista', 'install', 'uninstall\xc2\xa0', 'programs']","['negative', 'negative', 'negative', 'negative']"
"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.","2","['screen', 'keyboard']","['positive', 'positive']"
"the mouse jumps around all the time and it clicks stuff i dont want it too.","1","['mouse']","['negative']"
"For those that care about noise this thing doesn't really make any;","1","['noise']","['positive']"
"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.","3","['IWORKS', 'Itunes', 'MS Office']","['positive', 'positive', 'positive']"
"The macbooks are small enough to be very portable yet hold tons of information and performance.","1","['performance']","['positive']"
"The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.","3","['software', 'iWork', 'price']","['negative', 'negative', 'negative']"
"Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it).","2","['BIOS', 'Windows']","['negative', 'negative']"
"BUT there's this application called Boot Camp which allows you to add another OS X like Windows.","4","['application', 'Boot Camp', 'OS X', 'Windows']","['neutral', 'neutral', 'neutral', 'neutral']"
"The mousepad is a huge pain in the arse!","1","['mousepad']","['negative']"
"I hope to edit this in the next few hours, I am going to try to install my own copy of Windows 7.","1","['Windows 7']","['neutral']"
") I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two.","2","['Applecare', 'extended warranty']","['neutral', 'neutral']"
"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.","4","['windows', 'bootcamp', 'programs', 'cad programs']","['neutral', 'neutral', 'neutral', 'neutral']"
